,Actual,Predicted,Gap(%),Signal
2023-12-13 05:00:00+00:00,374.3699951171875,374.7176722427539,0.09286992283064091,HOLD
2023-12-14 05:00:00+00:00,365.92999267578125,374.7076534489461,2.3987267916959043,BUY
2023-12-15 05:00:00+00:00,370.7300109863281,366.2600386529666,-1.205721738434161,SELL
2023-12-18 05:00:00+00:00,372.6499938964844,371.0643862799552,-0.42549514088268403,HOLD
2023-12-19 05:00:00+00:00,373.260009765625,372.9861008946682,-0.07338286014855792,HOLD
2023-12-20 05:00:00+00:00,370.6199951171875,373.5966669599875,0.8031600782517911,BUY
2023-12-21 05:00:00+00:00,373.5400085449219,370.9542711833783,-0.6922250100105726,SELL
2023-12-22 05:00:00+00:00,374.5799865722656,373.8769182806791,-0.18769510299261374,HOLD
2023-12-26 05:00:00+00:00,374.6600036621094,374.917834303189,0.0688172312388495,HOLD
2023-12-27 05:00:00+00:00,374.07000732421875,374.9979235634455,0.24805951320831382,HOLD
2023-12-28 05:00:00+00:00,375.2799987792969,374.4073950857419,-0.232520703579562,HOLD
2023-12-29 05:00:00+00:00,376.0400085449219,375.61847787746956,-0.11209729227573934,HOLD
2024-01-02 05:00:00+00:00,370.8699951171875,376.37917312439095,1.4854741768642286,BUY
2024-01-03 05:00:00+00:00,370.6000061035156,371.2044966677495,0.16311132063635492,HOLD
2024-01-04 05:00:00+00:00,367.94000244140625,370.9342641408657,0.8137907483805835,BUY
2024-01-05 05:00:00+00:00,367.75,368.2718613217439,0.1419065456815573,HOLD
2024-01-08 05:00:00+00:00,374.69000244140625,368.0816875100136,-1.7636752751165472,SELL
2024-01-09 05:00:00+00:00,375.7900085449219,375.02794939976593,-0.20278855952202582,HOLD
2024-01-10 05:00:00+00:00,382.7699890136719,376.12894764001976,-1.7349953142264003,SELL
2024-01-11 05:00:00+00:00,384.6300048828125,383.1152236147973,-0.39382815921413367,HOLD
2024-01-12 05:00:00+00:00,388.4700012207031,384.9769171019725,-0.8991901839921175,SELL
2024-01-16 05:00:00+00:00,390.2699890136719,388.82037687650154,-0.37143828067178164,HOLD
2024-01-17 05:00:00+00:00,389.4700012207031,390.62198814593285,0.2957832237705308,HOLD
2024-01-18 05:00:00+00:00,393.8699951171875,389.8212788139863,-1.0279321485244413,SELL
2024-01-19 05:00:00+00:00,398.6700134277344,394.22524122989853,-1.1149000547144325,SELL
2024-01-22 05:00:00+00:00,396.510009765625,399.02958885688713,0.6354389622474954,BUY
2024-01-23 05:00:00+00:00,398.8999938964844,396.8676370065077,-0.5094903286722176,SELL
2024-01-24 05:00:00+00:00,402.55999755859375,399.25977675364265,-0.8198084322749278,SELL
2024-01-25 05:00:00+00:00,404.8699951171875,402.9230815102492,-0.4808737694614292,HOLD
2024-01-26 05:00:00+00:00,403.92999267578125,405.2351625422307,0.3231178397532468,HOLD
2024-01-29 05:00:00+00:00,409.7200012207031,404.2943122773868,-1.3242431238775914,SELL
2024-01-30 05:00:00+00:00,408.5899963378906,410.0895430480523,0.3670052433005703,HOLD
2024-01-31 05:00:00+00:00,397.5799865722656,408.95851897147804,2.8619479811628326,BUY
2024-02-01 05:00:00+00:00,403.7799987792969,397.93857886533806,-1.4466838207980908,SELL
2024-02-02 05:00:00+00:00,411.2200012207031,404.1441830957847,-1.7206891940844158,SELL
2024-02-05 05:00:00+00:00,405.6499938964844,411.5908959542794,1.4645389244874623,BUY
2024-02-06 05:00:00+00:00,405.489990234375,406.01586483166466,0.12968867541852264,HOLD
2024-02-07 05:00:00+00:00,414.04998779296875,405.85571685625473,-1.979053539016472,SELL
2024-02-08 05:00:00+00:00,414.1099853515625,414.42343499751587,0.07569236604793854,HOLD
2024-02-09 05:00:00+00:00,420.54998779296875,414.4834866701567,-1.4425160620379094,SELL
2024-02-12 05:00:00+00:00,415.260009765625,420.9292975911667,1.36523808992382,BUY
2024-02-13 05:00:00+00:00,406.32000732421875,415.6345483343466,2.2924150527235616,BUY
2024-02-14 05:00:00+00:00,409.489990234375,406.6864825696248,-0.684633991454981,SELL
2024-02-15 05:00:00+00:00,406.55999755859375,409.8593246061937,0.8115227930471549,BUY
2024-02-16 05:00:00+00:00,404.05999755859375,406.92668926018814,0.7094717910497153,BUY
2024-02-20 05:00:00+00:00,402.7900085449219,404.4244344164763,0.4057761704315291,HOLD
2024-02-21 05:00:00+00:00,402.17999267578125,403.1532999521078,0.24200788056385433,HOLD
2024-02-22 05:00:00+00:00,411.6499938964844,402.5427338867885,-2.212379483718892,SELL
2024-02-23 05:00:00+00:00,410.3399963378906,412.0212764565731,0.4097285503941092,HOLD
2024-02-26 05:00:00+00:00,407.5400085449219,410.71009736207634,0.7778595354289088,BUY
2024-02-27 05:00:00+00:00,407.4800109863281,407.9075841551603,0.10493107816435061,HOLD
2024-02-28 05:00:00+00:00,407.7200012207031,407.84753248251945,0.03127912818466214,HOLD
2024-02-29 05:00:00+00:00,413.6400146484375,408.0877391730828,-1.3422965087344614,SELL
2024-03-01 05:00:00+00:00,415.5,414.01309208283783,-0.3578599078609316,HOLD
2024-03-04 05:00:00+00:00,414.9200134277344,415.87475502491,0.23010256586282582,HOLD
2024-03-05 05:00:00+00:00,402.6499938964844,415.2942453410142,3.140258695193339,BUY
2024-03-06 05:00:00+00:00,402.0899963378906,403.01315901921043,0.22959105914787353,HOLD
2024-03-07 05:00:00+00:00,409.1400146484375,402.4526563778272,-1.6344913797680078,SELL
2024-03-08 05:00:00+00:00,406.2200012207031,409.5090333641565,0.809667700647366,BUY
