,Actual,Predicted,Gap(%),Signal
2023-12-13 05:00:00+00:00,132.57000732421875,132.73829572427712,0.12694304198595954,HOLD
2023-12-14 05:00:00+00:00,131.94000244140625,132.78978766105865,0.6440694284735883,BUY
2023-12-15 05:00:00+00:00,132.60000610351562,132.16026399066322,-0.3316305374142372,HOLD
2023-12-18 05:00:00+00:00,135.8000030517578,132.82029458106263,-2.1941888098187468,SELL
2023-12-19 05:00:00+00:00,136.64999389648438,136.02690277609508,-0.45597595918028105,HOLD
2023-12-20 05:00:00+00:00,138.33999633789062,136.87759705957433,-1.0571051879634565,SELL
2023-12-21 05:00:00+00:00,140.4199981689453,138.57044733867951,-1.3171562842783435,SELL
2023-12-22 05:00:00+00:00,141.49000549316406,140.65210624868996,-0.592196771463539,SELL
2023-12-26 05:00:00+00:00,141.52000427246094,141.72437138871283,0.14440864194607464,HOLD
2023-12-27 05:00:00+00:00,140.3699951171875,141.75443672887923,0.986280301951945,BUY
2023-12-28 05:00:00+00:00,140.22999572753906,140.60250581290165,0.2656422282764403,HOLD
2023-12-29 05:00:00+00:00,139.69000244140625,140.46183989176097,0.5525359273141078,BUY
2024-01-02 05:00:00+00:00,138.1699981689453,139.9219030110835,1.2679343311534668,BUY
2024-01-03 05:00:00+00:00,138.9199981689453,138.39756354030396,-0.37606869819131356,HOLD
2024-01-04 05:00:00+00:00,136.38999938964844,139.1503223579566,2.023845575673251,BUY
2024-01-05 05:00:00+00:00,135.72999572753906,136.61411282439076,0.6513793005832332,BUY
2024-01-08 05:00:00+00:00,138.83999633789062,135.9538822115519,-2.0787339401211726,SELL
2024-01-09 05:00:00+00:00,140.9499969482422,139.06864864223098,-1.3347629278076885,SELL
2024-01-10 05:00:00+00:00,142.27999877929688,141.18096478677398,-0.7724444770537987,SELL
2024-01-11 05:00:00+00:00,142.0800018310547,142.51423153676296,0.3056233812726244,HOLD
2024-01-12 05:00:00+00:00,142.64999389648438,142.3131431609636,-0.23613792494461905,HOLD
2024-01-16 05:00:00+00:00,142.49000549316406,142.88529491013833,0.2774155391503784,HOLD
2024-01-17 05:00:00+00:00,141.47000122070312,142.7248217863962,0.8869870324914131,BUY
2024-01-18 05:00:00+00:00,143.47999572753906,141.70384490930155,-1.2379083294721638,SELL
2024-01-19 05:00:00+00:00,146.3800048828125,143.71765786893775,-1.8187914503802256,SELL
2024-01-22 05:00:00+00:00,145.99000549316406,146.6214410957764,0.43251974714248137,HOLD
2024-01-23 05:00:00+00:00,147.0399932861328,146.2307636423102,-0.5503466272933625,SELL
2024-01-24 05:00:00+00:00,148.6999969482422,147.28104567380797,-0.9542375948589383,SELL
2024-01-25 05:00:00+00:00,151.8699951171875,148.94435566162247,-1.9264104494818222,SELL
2024-01-26 05:00:00+00:00,152.19000244140625,152.11896564636845,-0.04667638734360887,HOLD
2024-01-29 05:00:00+00:00,153.50999450683594,152.43993299885187,-0.6970630879257922,SELL
2024-01-30 05:00:00+00:00,151.4600067138672,153.7619280927629,1.5198212576633647,BUY
2024-01-31 05:00:00+00:00,140.10000610351562,151.70810651210013,8.285581658010518,BUY
2024-02-01 05:00:00+00:00,141.16000366210938,140.3279610852369,-0.5894322437566083,SELL
2024-02-02 05:00:00+00:00,142.3800048828125,141.3904237663919,-0.6950281517654683,SELL
2024-02-05 05:00:00+00:00,143.67999267578125,142.61224670491356,-0.7431417213926893,SELL
2024-02-06 05:00:00+00:00,144.10000610351562,143.91250513798877,-0.1301186381575572,HOLD
2024-02-07 05:00:00+00:00,145.5399932861328,144.33369642293837,-0.8288421869189242,SELL
2024-02-08 05:00:00+00:00,145.91000366210938,145.77719864704704,-0.09101844406081575,HOLD
2024-02-09 05:00:00+00:00,149.0,146.14894267562704,-1.9134612915254763,SELL
2024-02-12 05:00:00+00:00,147.52999877929688,149.2452780008316,1.1626647025875505,BUY
2024-02-13 05:00:00+00:00,145.13999938964844,147.7746332029128,1.815236202524249,BUY
2024-02-14 05:00:00+00:00,145.94000244140625,145.38471938984003,-0.3804872154837482,HOLD
2024-02-15 05:00:00+00:00,142.77000427246094,146.1853754275362,2.3922189905923106,BUY
2024-02-16 05:00:00+00:00,140.52000427246094,143.0086688721076,1.7710393708936016,BUY
2024-02-20 05:00:00+00:00,141.1199951171875,140.75128933179258,-0.2612711154707351,HOLD
2024-02-21 05:00:00+00:00,142.5500030517578,141.34959288756363,-0.8420976068014044,SELL
2024-02-22 05:00:00+00:00,144.08999633789062,142.78396659398277,-0.9063986238470163,SELL
2024-02-23 05:00:00+00:00,143.9600067138672,144.32416855336123,0.2529604213049586,HOLD
2024-02-26 05:00:00+00:00,137.57000732421875,144.19597555307337,4.816433725440485,BUY
2024-02-27 05:00:00+00:00,138.8800048828125,137.79501014953712,-0.7812461802481235,SELL
2024-02-28 05:00:00+00:00,136.3800048828125,139.1087396320654,2.000831977970402,BUY
2024-02-29 05:00:00+00:00,138.4600067138672,136.60509361834556,-1.3396742781869655,SELL
2024-03-01 05:00:00+00:00,137.13999938964844,138.6889575425539,1.1294721888575336,BUY
2024-03-04 05:00:00+00:00,133.35000610351562,137.36619532484474,3.011765307465728,BUY
2024-03-05 05:00:00+00:00,132.6699981689453,133.5691878657526,0.6777641586021936,BUY
2024-03-06 05:00:00+00:00,131.39999389648438,132.88788826045675,1.1323397512061695,BUY
2024-03-07 05:00:00+00:00,134.3800048828125,131.61629945227105,-2.056634417413192,SELL
2024-03-08 05:00:00+00:00,135.41000366210938,134.60144028752984,-0.597122334179353,SELL
