,Actual,Predicted,Gap(%),Signal
2023-12-13 05:00:00+00:00,432.4800109863281,427.0378039916868,-1.258371914630143,SELL
2023-12-14 05:00:00+00:00,433.75,432.84615910506545,-0.20837830430767645,HOLD
2023-12-15 05:00:00+00:00,433.0899963378906,434.1174818575382,0.23724526734299556,HOLD
2023-12-18 05:00:00+00:00,435.5400085449219,433.4540278392051,-0.4789412372667581,HOLD
2023-12-19 05:00:00+00:00,438.19000244140625,435.90630707267337,-0.5211655574086835,SELL
2023-12-20 05:00:00+00:00,430.0899963378906,438.55560443724244,1.9683341094734499,BUY
2023-12-21 05:00:00+00:00,434.2799987792969,430.45668454811675,-0.880379994917322,SELL
2023-12-22 05:00:00+00:00,435.2900085449219,434.6485509051454,-0.14736328130313425,HOLD
2023-12-26 05:00:00+00:00,437.1000061035156,435.661856675295,-0.32902068362818837,HOLD
2023-12-27 05:00:00+00:00,437.8999938964844,437.4722019843575,-0.09769169173086945,HOLD
2023-12-28 05:00:00+00:00,437.9700012207031,438.25815008379504,0.06579191777719828,HOLD
2023-12-29 05:00:00+00:00,436.79998779296875,438.3226803968246,0.34860179633923094,HOLD
2024-01-02 05:00:00+00:00,434.010009765625,437.14641360268433,0.7226570278305472,BUY
2024-01-03 05:00:00+00:00,430.7900085449219,434.35355025110766,0.8272108534323607,BUY
2024-01-04 05:00:00+00:00,429.42999267578125,431.12283492629285,0.3942068042251757,HOLD
2024-01-05 05:00:00+00:00,429.9800109863281,429.7710340751655,-0.04860154096076179,HOLD
2024-01-08 05:00:00+00:00,436.1300048828125,430.3180549350327,-1.3326186877102064,SELL
2024-01-09 05:00:00+00:00,435.07000732421875,436.4773030796787,0.3234642084650058,HOLD
2024-01-10 05:00:00+00:00,437.94000244140625,435.4202475261045,-0.5753653243034984,SELL
2024-01-11 05:00:00+00:00,437.7900085449219,438.28477427674807,0.11301439552506909,HOLD
2024-01-12 05:00:00+00:00,437.989990234375,438.1365410872386,0.03345986349714571,HOLD
2024-01-16 05:00:00+00:00,436.5,438.333496111125,0.4200449280927805,HOLD
