,Actual,Predicted,Gap(%),Signal
2023-12-13 05:00:00+00:00,334.739990234375,334.8672366046703,0.03801349525230925,HOLD
2023-12-14 05:00:00+00:00,333.1700134277344,335.3879532768042,0.6657081248852805,BUY
2023-12-15 05:00:00+00:00,334.9200134277344,333.81446083043556,-0.3300945159962367,HOLD
2023-12-18 05:00:00+00:00,344.6199951171875,335.5693630097376,-2.6262643594932076,SELL
2023-12-19 05:00:00+00:00,350.3599853515625,345.28663118609984,-1.4480404091728378,SELL
2023-12-20 05:00:00+00:00,349.2799987792969,351.0393955566542,0.5037210213886458,BUY
2023-12-21 05:00:00+00:00,354.0899963378906,349.956565225144,-1.1673391384946925,SELL
2023-12-22 05:00:00+00:00,353.3900146484375,354.7766396964107,0.3923781064817765,HOLD
2023-12-26 05:00:00+00:00,354.8299865722656,354.0796818649542,-0.2114547066778512,HOLD
2023-12-27 05:00:00+00:00,357.8299865722656,355.52051824698356,-0.6454093876829575,SELL
2023-12-28 05:00:00+00:00,358.32000732421875,358.5255460454282,0.05736177634744033,HOLD
2023-12-29 05:00:00+00:00,353.9599914550781,359.00836073375103,1.4262542096692328,BUY
2024-01-02 05:00:00+00:00,346.2900085449219,354.62946238808945,2.4082282587964863,BUY
2024-01-03 05:00:00+00:00,344.4700012207031,346.94451857632157,0.7183549646847226,BUY
2024-01-04 05:00:00+00:00,347.1199951171875,345.1180325852947,-0.5767350080818379,SELL
2024-01-05 05:00:00+00:00,351.95001220703125,347.77781183271145,-1.1854525442850512,SELL
2024-01-08 05:00:00+00:00,358.6600036621094,352.61924775179796,-1.6842569142452708,SELL
2024-01-09 05:00:00+00:00,357.42999267578125,359.34558977588676,0.5359363062302164,BUY
2024-01-10 05:00:00+00:00,370.4700012207031,358.1145058670445,-3.3350865962013443,SELL
2024-01-11 05:00:00+00:00,369.6700134277344,371.1737460457625,0.4067770074410194,HOLD
2024-01-12 05:00:00+00:00,374.489990234375,370.36232327353355,-1.1022102241659777,SELL
2024-01-16 05:00:00+00:00,367.4599914550781,375.18829112377716,2.103167650468914,BUY
2024-01-17 05:00:00+00:00,368.3699951171875,368.14500848607713,-0.061076264107448555,HOLD
2024-01-18 05:00:00+00:00,376.1300048828125,369.05723552985,-1.880405514355627,SELL
2024-01-19 05:00:00+00:00,383.45001220703125,376.84163180679025,-1.7234007536484377,SELL
2024-01-22 05:00:00+00:00,381.7799987792969,384.1788709693719,0.6283388856789789,BUY
2024-01-23 05:00:00+00:00,385.20001220703125,382.5138297915837,-0.6973474377783301,SELL
2024-01-24 05:00:00+00:00,390.70001220703125,385.9337586158581,-1.2199266552998018,SELL
2024-01-25 05:00:00+00:00,393.17999267578125,391.4392051570103,-0.44274570201908076,HOLD
2024-01-26 05:00:00+00:00,394.1400146484375,393.91365986172605,-0.05743004473000703,HOLD
2024-01-29 05:00:00+00:00,401.0199890136719,394.88031268963823,-1.5310150347204576,SELL
2024-01-30 05:00:00+00:00,400.05999755859375,401.76933721635214,0.42727082642348857,HOLD
2024-01-31 05:00:00+00:00,390.1400146484375,400.8159455086352,2.7364357562292034,BUY
2024-02-01 05:00:00+00:00,394.7799987792969,390.88382211378484,-0.9869235213433903,SELL
2024-02-02 05:00:00+00:00,474.989990234375,395.53679384712814,-16.727341211557352,SELL
2024-02-05 05:00:00+00:00,459.4100036621094,475.8994157592242,3.5892583891670333,BUY
2024-02-06 05:00:00+00:00,454.7200012207031,460.2869158957765,1.2242511128010374,BUY
2024-02-07 05:00:00+00:00,469.5899963378906,455.588449137158,-2.9816536361345047,SELL
2024-02-08 05:00:00+00:00,470.0,470.4771592929319,0.10152325381529814,HOLD
2024-02-09 05:00:00+00:00,468.1099853515625,470.87986946105957,0.5917165188041902,BUY
2024-02-12 05:00:00+00:00,468.8999938964844,468.9672319406236,0.014339527620909774,HOLD
2024-02-13 05:00:00+00:00,460.1199951171875,469.74717239230813,2.0923188249336335,BUY
2024-02-14 05:00:00+00:00,473.2799987792969,460.9458254154306,-2.6061049264027822,SELL
2024-02-15 05:00:00+00:00,484.0299987792969,474.123694074362,-2.046630318351789,SELL
2024-02-16 05:00:00+00:00,473.32000732421875,484.9297284806926,2.452827046569637,BUY
2024-02-20 05:00:00+00:00,471.75,474.2109445232927,0.5216628560238918,BUY
2024-02-21 05:00:00+00:00,468.0299987792969,472.63370794057846,0.9836354877441308,BUY
2024-02-22 05:00:00+00:00,486.1300048828125,468.924536343864,-3.5392731092778495,SELL
2024-02-23 05:00:00+00:00,484.0299987792969,487.03520282224054,0.6208714440267457,BUY
2024-02-26 05:00:00+00:00,481.739990234375,484.9301900876708,0.662224419389325,BUY
2024-02-27 05:00:00+00:00,487.04998779296875,482.6236330544634,-0.9088091262588929,SELL
2024-02-28 05:00:00+00:00,484.0199890136719,487.94174489528086,0.810246677952429,BUY
2024-02-29 05:00:00+00:00,490.1300048828125,484.9087948692759,-1.0652704306044238,SELL
2024-03-01 05:00:00+00:00,502.29998779296875,491.02792715013493,-2.2440893722417905,SELL
2024-03-04 05:00:00+00:00,498.19000244140625,503.22110375311604,1.009876008561917,BUY
2024-03-05 05:00:00+00:00,490.2200012207031,499.10767935725744,1.8129978610466713,BUY
2024-03-06 05:00:00+00:00,496.0899963378906,491.1335746382574,-0.9990972880366963,SELL
2024-03-07 05:00:00+00:00,512.1900024414062,497.0193584313929,-2.9619172451045346,SELL
2024-03-08 05:00:00+00:00,505.95001220703125,513.1554484747176,1.4241399533236685,BUY
2024-03-11 04:00:00+00:00,483.5899963378906,506.90544535438676,4.821325749717396,BUY
