,Actual,Predicted,Gap(%),Signal
2023-12-13 05:00:00+00:00,217.97999572753906,210.65600190133864,-3.359938512594037,SELL
2023-12-14 05:00:00+00:00,229.25999450683594,217.9029235044327,-4.953795374039672,SELL
2023-12-15 05:00:00+00:00,230.80999755859375,229.1790569455943,-0.7066161042635971,SELL
2023-12-18 05:00:00+00:00,228.08999633789062,230.72822388258646,1.1566607861168927,BUY
2023-12-19 05:00:00+00:00,235.64999389648438,228.00852016520184,-3.2427218031837732,SELL
2023-12-20 05:00:00+00:00,231.6199951171875,235.56392102464451,1.702757098091465,BUY
2023-12-21 05:00:00+00:00,235.72000122070312,231.53438642086257,-1.775672313832031,SELL
2023-12-22 05:00:00+00:00,236.22999572753906,235.63147212697913,-0.2533647764402659,HOLD
2023-12-26 05:00:00+00:00,238.1699981689453,236.1379943613956,-0.8531737091874613,SELL
2023-12-27 05:00:00+00:00,238.83999633789062,238.07366385414753,-0.3208560105062792,HOLD
2023-12-28 05:00:00+00:00,238.77999877929688,238.74185353906432,-0.015975056716458744,HOLD
2023-12-29 05:00:00+00:00,236.39999389648438,238.68220797946378,0.9654036133261287,BUY
2024-01-02 05:00:00+00:00,234.25,236.30164194360987,0.8758343409220345,BUY
2024-01-03 05:00:00+00:00,224.02000427246094,234.15178856253624,4.522714086619101,BUY
2024-01-04 05:00:00+00:00,223.35000610351562,223.92589491664694,0.2578414136529766,HOLD
2024-01-05 05:00:00+00:00,223.88999938964844,223.2568438444905,-0.282797600108979,HOLD
2024-01-08 05:00:00+00:00,226.92999267578125,223.79653182293623,-1.3808050738017024,SELL
2024-01-09 05:00:00+00:00,215.19000244140625,226.83518836983058,5.41158315735192,BUY
2024-01-10 05:00:00+00:00,213.13999938964844,215.09960251228767,0.9193971700529192,BUY
2024-01-11 05:00:00+00:00,213.4600067138672,213.05046065356146,-0.19186079238473264,HOLD
2024-01-12 05:00:00+00:00,211.49000549316406,213.3703335447717,0.8890860101038798,BUY
2024-01-16 05:00:00+00:00,206.42999267578125,211.40115990884806,2.4081613183383284,BUY
2024-01-17 05:00:00+00:00,203.52000427246094,206.3432727701438,1.3872191619567995,BUY
2024-01-18 05:00:00+00:00,206.11000061035156,203.43450683414267,-1.2980902276871484,SELL
2024-01-19 05:00:00+00:00,212.02999877929688,206.02402938698106,-2.83260360651488,SELL
2024-01-22 05:00:00+00:00,215.82000732421875,211.94092634729168,-1.7973685688461982,SELL
2024-01-23 05:00:00+00:00,214.0500030517578,215.73244292796517,0.7860032012242187,BUY
2024-01-24 05:00:00+00:00,213.11000061035156,213.96218716078965,0.39988106986880523,HOLD
2024-01-25 05:00:00+00:00,213.02999877929688,213.02504732107627,-0.0023243009195774112,HOLD
2024-01-26 05:00:00+00:00,220.27999877929688,212.94632174420622,-3.329252349614557,SELL
2024-01-29 05:00:00+00:00,224.55999755859375,220.19311948109134,-1.944637569014477,SELL
2024-01-30 05:00:00+00:00,223.9600067138672,224.47062712289699,0.22799624652725162,HOLD
2024-01-31 05:00:00+00:00,216.27999877929688,223.87086171359806,3.5097387539969835,BUY
2024-02-01 05:00:00+00:00,219.5399932861328,216.19322748948434,-1.5244447021033352,SELL
2024-02-02 05:00:00+00:00,218.1699981689453,219.45403395796438,0.5885482879386317,BUY
2024-02-05 05:00:00+00:00,217.58999633789062,218.08326185418446,0.2266949421368852,HOLD
2024-02-06 05:00:00+00:00,220.5,217.5041001709851,-1.3586847297119675,SELL
2024-02-07 05:00:00+00:00,218.5800018310547,220.41312593221664,0.838651333976481,BUY
2024-02-08 05:00:00+00:00,218.77000427246094,218.49302434371566,-0.12660781795310483,HOLD
2024-02-09 05:00:00+00:00,222.22000122070312,218.68267734535857,-1.5918116532774997,SELL
2024-02-12 05:00:00+00:00,225.77999877929688,222.13074084590517,-1.616289287413324,SELL
2024-02-13 05:00:00+00:00,220.24000549316406,225.68872976590865,2.4739938870523255,BUY
2024-02-14 05:00:00+00:00,245.1199951171875,220.15161919850198,-10.186184895584951,SELL
2024-02-15 05:00:00+00:00,245.39999389648438,245.02302662088914,-0.15361340055870096,HOLD
2024-02-16 05:00:00+00:00,244.9600067138672,245.30328030826786,0.14013454645338974,HOLD
2024-02-20 05:00:00+00:00,238.94000244140625,244.86118880954746,2.4781059293716305,BUY
2024-02-21 05:00:00+00:00,241.10000610351562,238.84311456462092,-0.9360810791210499,SELL
2024-02-22 05:00:00+00:00,246.89999389648438,241.00010113463213,-2.389588054961978,SELL
2024-02-23 05:00:00+00:00,247.7100067138672,246.79627280491695,-0.36887242508765494,HOLD
2024-02-26 05:00:00+00:00,249.55999755859375,247.6059453411508,-0.7829989728158101,SELL
2024-02-27 05:00:00+00:00,252.9499969482422,249.45515901668114,-1.381631932684369,SELL
2024-02-28 05:00:00+00:00,256.7300109863281,252.84373428949766,-1.5137601879499096,SELL
2024-02-29 05:00:00+00:00,254.19000244140625,256.6221603681188,0.95682674509324,BUY
2024-03-01 05:00:00+00:00,264.3800048828125,254.08321886436897,-3.894691666643859,SELL
2024-03-04 05:00:00+00:00,258.9200134277344,264.2689405516139,2.0658608243786665,BUY
2024-03-05 05:00:00+00:00,261.2699890136719,258.81124280365475,-0.9410748702134567,SELL
2024-03-06 05:00:00+00:00,263.44000244140625,261.16023118003795,-0.8653853781660809,SELL
2024-03-07 05:00:00+00:00,270.2699890136719,263.3293329991575,-2.568045397805262,SELL
2024-03-08 05:00:00+00:00,266.9700012207031,270.15645033821056,1.1935607382618283,BUY
